Unexplained	Promoter	Distal	gene	rank
1.07460503482978e-05	1.07460503482978e-05	99.9999785078993	Adora3	72
1.07479224507731e-05	1.07479224507731e-05	99.9999785041551	Arsi	73
1.07577903722337e-05	1.07577903722337e-05	99.9999784844192	Casz1	74
1.08106561892093e-05	1.08106561892093e-05	99.9999783786876	Mcf2	75
1.08495010699615e-05	1.08495010699615e-05	99.9999783009979	Ing4	76
1.08587191274263e-05	1.08587191274263e-05	99.9999782825617	Insl5	77
1.08682747279008e-05	1.08682747279008e-05	99.9999782634505	Syne2	78
1.08768865443059e-05	1.08768865443059e-05	99.9999782462269	Bpgm	79
1.0881818618278e-05	1.0881818618278e-05	99.9999782363628	Lpp	80
1.08987233300883e-05	1.08987233300883e-05	99.9999782025533	Penk	81
1.0975322711255e-05	1.0975322711255e-05	99.9999780493546	Ceacam15	82
1.10118852158085e-05	1.10118852158085e-05	99.9999779762296	Slc30a7	83
1.10601672434433e-05	1.10601672434433e-05	99.9999778796655	Siglech	84
1.10679602086908e-05	1.10679602086908e-05	99.9999778640796	Cox4i2	85
1.1090902008864e-05	1.1090902008864e-05	99.999977818196	Tmem106b	86
1.10971476934701e-05	1.10971476934701e-05	99.9999778057046	Mall	87
1.11563542181288e-05	1.11563542181288e-05	99.9999776872916	Ccl1	88
1.11568835896568e-05	1.11568835896568e-05	99.9999776862328	Gpd1	89
1.11756039070045e-05	1.11756039070045e-05	99.9999776487922	Stt3b	90
1.12671612950475e-05	1.12671612950475e-05	99.9999774656774	Fam167b	91
1.12920055265785e-05	1.12920055265785e-05	99.9999774159889	Dscaml1	92
1.13387987250292e-05	1.13387987250292e-05	99.9999773224025	Adcy8	93
1.13426096143838e-05	1.13426096143838e-05	99.9999773147808	Dhrs7b	94
1.13748224674583e-05	1.13748224674583e-05	99.9999772503551	Nxph4	95
1.1377777648324e-05	1.1377777648324e-05	99.9999772444447	Psma7	96
1.14166334138191e-05	1.14166334138191e-05	99.9999771667332	Tm9sf2	97
1.14294891838972e-05	1.14294891838972e-05	99.9999771410216	Slc22a12	98
1.14449900843467e-05	1.14449900843467e-05	99.9999771100198	Mtmr3	99
1.14538426634198e-05	1.14538426634198e-05	99.9999770923147	Calca	100
1.1477766052092e-05	1.1477766052092e-05	99.9999770444679	Mvb12a	101
1.14866153306089e-05	1.14866153306089e-05	99.9999770267693	Parp16	102
1.15266101881978e-05	1.15266101881978e-05	99.9999769467796	Fez1	103
1.15428230829544e-05	1.15428230829544e-05	99.9999769143538	Tmem125	104
1.15667892727052e-05	1.15667892727052e-05	99.9999768664214	Nme3	105
1.15699604442721e-05	1.15699604442721e-05	99.9999768600791	Ssna1	106
1.15727149497848e-05	1.15727149497848e-05	99.9999768545701	Gpm6b	107
1.15926205226503e-05	1.15926205226503e-05	99.999976814759	Gm6307	108
1.16026235109715e-05	1.16026235109715e-05	99.999976794753	H19	109
1.16142503739469e-05	1.16142503739469e-05	99.9999767714992	Ctrc	110
1.16518325244825e-05	1.16518325244825e-05	99.9999766963349	Col13a1	111
